0	True	2) Да на данный момент все обучены	True	1) Все направления охрана труда да и экология а медицинская пощада
1	True	2) Нет пока еще	True	1) Смотрите по экологии с 1 января этого года должно быть удостоверение на руками экологической безопасности закон экологии
2	True	2) У нас уже все обучено	True	1) А скажите в смысле какой через сколько он набрать чтобы понять да да нет нет я наверное не буду просто прочитайте утиный закон чтобы запомнили там обучение должно быть руководителю
3	True	2) Да я знаю у нас есть ение	50/50	None
4	False	None	None	None
5	False	None	None	None
6	True	2) Не могу сказать я же не это это охрана труда у нас мария валентиновна наверное но а как вот так ольга семена а кто на за охрану труда отвечает	True	1) А по гражданской обороне и обычно сотрудника у вас
7	True	2) Ну у меня есть	50/50	None
8	True	2) Так у нас все обученные не знаю проверку ничего не знаю ну у нас все обычно все комо положены	50/50	None
9	True	2) У нас это все есть спасибо	True	1) Смотрите по экологии с 1 января этого года должно быть удостоверение
10	False	None	None	None
11	False	None	None	None
12	False	None	None	None
13	False	None	None	None
14	True	2) Именно по геологической безопасности но не могу сказать	50/50	None
15	True	2) Нет нам спасибо мы не нуждаемся мы не нуждаемся в ваших услугах у нас все нормально у нас прошла проверка	False	None
16	True	2) Головной офис у нас есть производство поэтому я вас спрашиваю что за проверка по экологической безопасности	50/50	None
17	False	None	None	None
18	False	None	None	None
19	False	None	None	None
20	True	2) Да не надо нам за постановления вы что думаете больше ничего делать как законы постановления читать	True	1) Ну вот смотрите николай антонович чтобы у вас было безопасная работа чтобы вас не штрафовали никакие проверки чтобы вас не занимались
21	True	2) Пока пока нет потому что тимати запрещены до 1 января	True	1) Так хорошо смотрите а гражданская оборона пожарно техническим минимум охраны труда
22	True	2) Ну все кому нужно все обучены	True	1) Ну вот я вы знаете я звонила в школу экологии необычно никто это 7 фз 73 статья
23	True	2) Вот оно есть у меня	True	1) Отлично вы просто огромный молодец просто потрясающий на самом деле потому что когда вот а работа с отходами на 112 есть
24	False	None	None	None
25	True	2) Почему у меня есть у меня	True	1) Вот а по гочс
26	False	None	None	None
27	True	2) Понятно ну судя по всему у вас сейчас в период начался такой во всех этих контора как я вас называю всех то есть засыпали просто полностью засыпали а мы к сожалению уже как бы не знаю к нашему ток радости как бы мы уже все прошли у нас и обучением мы прошли и соут прошли так что пока наверное	50/50	None
28	False	None	None	None
29	True	2) У нас есть специалист по охране труда	50/50	None
30	False	None	None	None
31	False	None	None	None
32	True	2) Я просто не планировала на это поэтому нет пока нет	False	None
33	True	2) Ну вот дело в том что у нас вот просто мы посмотрели охрана труда и пожарный как он там пожарно техническим минимум у нас обучаемся мы в 1 в 1 предприятии ежегодно уже не знаешь много лет а в принципе от гражданской обороны да энергосбережения мед помощь вот этот нам как бы не нужно совсем	True	1) А удостоверение должно быть удостоверение так вот по гражданской обороне
34	True	2) Вот это вот на вряд ли у меня есть потому что я это узнавала но что то я вообще образовательно узнавала даже они мне сказали что у них этих пока требований нет я даже не знаю кто требует или нет при проверках	True	1) Странно конечно требует конечно требует там идет удостоверение гражданской обороны и чрезвычайной ситуации то есть вот сейчас
